timestep,rollout,win_rate,draw_rate,loss_rate,avg_game_length,avg_sub_board_diff
3543040,1730,0.99,0.01,0.0,20.4,1.45
3563520,1740,0.98,0.0,0.02,19.8,1.27
3584000,1750,1.0,0.0,0.0,20.4,1.33
3604480,1760,1.0,0.0,0.0,19.8,1.34
3624960,1770,0.99,0.0,0.01,19.5,1.38
3645440,1780,1.0,0.0,0.0,20.1,1.36
3665920,1790,0.99,0.01,0.0,20.2,1.19
3686400,1800,0.98,0.02,0.0,20.5,1.2
3706880,1810,1.0,0.0,0.0,20.1,1.39
3727360,1820,0.99,0.0,0.01,19.8,1.25
3747840,1830,0.98,0.0,0.02,20.9,1.14
3768320,1840,0.98,0.02,0.0,20.7,1.03
3788800,1850,0.98,0.0,0.02,20.7,1.16
3809280,1860,0.98,0.0,0.02,20.5,1.21
3829760,1870,0.99,0.0,0.01,20.1,1.23
3850240,1880,0.97,0.02,0.01,20.3,1.25
3870720,1890,1.0,0.0,0.0,20.1,1.35
3891200,1900,0.96,0.03,0.01,19.6,1.41
3911680,1910,1.0,0.0,0.0,19.6,1.28
3932160,1920,0.98,0.0,0.02,19.6,1.54
3952640,1930,0.99,0.0,0.01,19.5,1.37
3973120,1940,1.0,0.0,0.0,20.1,1.23
3993600,1950,0.98,0.01,0.01,19.9,1.26
4014080,1960,0.98,0.0,0.02,20.3,1.19
4034560,1970,0.99,0.01,0.0,20.3,1.42
4055040,1980,0.97,0.0,0.03,19.7,1.29
4075520,1990,0.96,0.01,0.03,20.2,1.2
4096000,2000,0.98,0.0,0.02,19.6,1.45
4116480,2010,1.0,0.0,0.0,20.9,1.17
4136960,2020,0.99,0.0,0.01,19.8,1.26
4157440,2030,1.0,0.0,0.0,20.1,1.3
4177920,2040,0.99,0.01,0.0,19.8,1.25
4198400,2050,0.98,0.0,0.02,20.1,1.18
4218880,2060,1.0,0.0,0.0,19.7,1.29
4239360,2070,0.99,0.0,0.01,20.6,1.09
4259840,2080,0.98,0.01,0.01,20.5,1.24
4280320,2090,0.98,0.01,0.01,19.6,1.2
4300800,2100,0.99,0.01,0.0,20.2,1.26
4321280,2110,0.98,0.01,0.01,20.1,1.23
4341760,2120,0.98,0.01,0.01,20.0,1.37
4362240,2130,0.98,0.01,0.01,19.8,1.42
4382720,2140,0.99,0.0,0.01,20.1,1.28
4403200,2150,1.0,0.0,0.0,20.4,1.42
4423680,2160,0.99,0.01,0.0,19.9,1.46
4444160,2170,0.99,0.0,0.01,20.0,1.24
4464640,2180,0.99,0.0,0.01,19.9,1.37
4485120,2190,0.98,0.01,0.01,20.3,1.37
4505600,2200,0.98,0.01,0.01,19.7,1.36
4526080,2210,0.98,0.01,0.01,20.8,1.39
4546560,2220,0.97,0.01,0.02,20.6,1.29
4567040,2230,0.99,0.0,0.01,20.1,1.44
4587520,2240,1.0,0.0,0.0,20.4,1.32
4608000,2250,0.99,0.01,0.0,20.2,1.5
4628480,2260,0.99,0.0,0.01,19.8,1.53
4648960,2270,0.99,0.0,0.01,20.1,1.31
4669440,2280,0.99,0.0,0.01,19.8,1.36
4689920,2290,0.99,0.01,0.0,20.3,1.37
4710400,2300,1.0,0.0,0.0,19.8,1.41
4730880,2310,0.98,0.01,0.01,19.8,1.28
4751360,2320,1.0,0.0,0.0,19.9,1.33
4771840,2330,0.99,0.0,0.01,20.5,1.24
4792320,2340,0.96,0.01,0.03,20.8,1.29
4812800,2350,0.99,0.0,0.01,20.2,1.42
4833280,2360,1.0,0.0,0.0,20.2,1.54
4853760,2370,1.0,0.0,0.0,20.0,1.37
4874240,2380,0.99,0.0,0.01,20.5,1.46
4894720,2390,0.98,0.0,0.02,19.8,1.3
4915200,2400,0.99,0.01,0.0,20.3,1.37
4935680,2410,0.99,0.0,0.01,20.6,1.13
4956160,2420,0.97,0.02,0.01,20.7,1.18
4976640,2430,0.99,0.01,0.0,19.9,1.36
4997120,2440,0.99,0.0,0.01,20.1,1.35
